Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
0,Omkar Alta Monte ,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Super Built Up Area,2900.0,17241,14,3,4,500.0
1,T Bhimjyani Neelkanth Woods ,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Super Built Up Area,1900.0,12631,8,3,3,240.0
2,Legend 1 Pramila Nagar ,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Super Built Up Area,595.0,15966,3,1,2,95.0
3,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Built Up Area,1450.0,25862,1,3,3,375.0
4,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Carpet Area,876.0,39954,5,2,2,350.0
5,Varun Garden ,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,14666,7,3,3,220.0
6,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Built Up Area,525.0,31428,1,1,2,165.0
7,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,583.0,24013,3,2,2,140.0
8,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Super Built Up Area,1010.0,6435,1,3,3,65.0
9,Sunteck West World ,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Carpet Area,788.0,10250,7,2,4,86.0
10,Green Court ,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Built Up Area,1200.0,34810,7,2,2,275.0
11,Balaji Galaxy ,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,630.0,11111,5,2,2,70.0
12,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,790.0,34810,4,3,3,275.0
13,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Built Up Area,864.0,26041,7,2,2,225.0
14,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Plot Area,1260.0,12698,2,2,2,160.0
15,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Super Built Up Area,896.0,8705,3,1,1,78.0
16,Haware Silicon Tower ,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Super Built Up Area,1985.0,16580,8,3,3,289.0
17,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Built Up Area,670.0,18656,5,2,2,125.0
18,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Built Up Area,960.0,14062,3,2,2,135.0
19,Lodha Splendora ,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Carpet Area,743.0,18169,26,2,2,135.0
20,Lodha Palava Downtown ,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Carpet Area,398.0,10552,11,1,2,42.0
21,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,1250.0,18000,2,2,2,225.0
22,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,820.0,24390,11,2,2,200.0
23,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Carpet Area,1460.0,32876,5,3,3,480.0
24,Gauri Excellency ,Arunachal Pradesh,Arunachal Pradesh,Under Construction,Under Construction,Carpet Area,2230.0,19730,21,4,4,440.0
25,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Built Up Area,855.0,5300,3,1,1,45.0
26,Puraniks Tokyo Bay ,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Super Built Up Area,1066.0,9193,13,2,2,98.0
27,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,276.0,10869,2,1,1,30.0
28,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Built Up Area,300.0,18333,5,1,1,55.0
29,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,625.0,40800,2,2,2,255.0
30,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Carpet Area,560.0,5000,2,1,2,28.0
31,Varsha Balaji Heritage ,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Super Built Up Area,1700.0,15294,13,3,3,260.0
32,Bhanushanti Complex ,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Carpet Area,720.0,13889,3,1,2,100.0
33,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Built Up Area,1500.0,16666,15,3,3,250.0
34,Indiabulls Greens ,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Super Built Up Area,1690.0,8076,16,3,3,105.0
35,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Built Up Area,525.0,10096,3,1,1,53.0
36,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Super Built Up Area,1085.0,11981,2,3,2,130.0
37,Samarth Garden ,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Super Built Up Area,802.0,22443,20,2,2,180.0
38,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Super Built Up Area,591.0,22335,2,1,2,130.0
39,Parinee Essence ,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Carpet Area,557.0,25134,7,2,2,140.0
40,Lalani Grandeur ,Arunachal Pradesh,Arunachal Pradesh,1 to 5 Year,Ready To Move,Built Up Area,1531.0,24820,15,3,3,380.0
41,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Super Built Up Area,980.0,23469,7,2,2,230.0
42,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,5 to 10 Year,Ready To Move,Carpet Area,640.0,28125,8,2,2,180.0
43,Spring Hills ,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Super Built Up Area,1415.0,18091,9,3,3,256.0
44,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Built Up Area,610.0,18852,1,1,1,115.0
45,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,10+ Year,Ready To Move,Carpet Area,950.0,31578,4,3,1,300.0
46,Unnamed Property,Arunachal Pradesh,Arunachal Pradesh,0 to 1 Year,Ready To Move,Carpet Area,627.0,30303,12,2,2,190.0
47,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,850.0,14118,3,2,2,120.0
48,Shyam Niwas Apartment ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,1231.0,22339,5,3,3,275.0
49,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,1250.0,28000,3,3,3,350.0
50,Unnamed Property,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Built Up Area,871.0,8610,2,2,2,75.0
51,Unnamed Property,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Carpet Area,595.0,5882,3,2,1,35.0
52,Bharat Shiv Sai Paradise ,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Super Built Up Area,951.0,17692,1,2,2,115.0
53,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,1180.0,40254,4,3,2,475.0
54,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,870.0,24712,2,3,3,215.0
55,Unnamed Property,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Built Up Area,2000.0,15000,3,3,3,300.0
56,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,945.0,4391,4,2,2,41.5
57,Fortune Springs ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Built Up Area,670.0,15454,10,1,1,68.0
58,Lodha Casa Ultima ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,594.0,13132,4,1,2,78.0
59,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,695.0,25899,2,2,2,180.0
60,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,776.0,32989,3,2,1,256.0
61,Royal Palms Estate ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,1080.0,9259,-1,2,2,100.0
62,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,590.0,33898,10,2,2,200.0
63,Oberoi Woods ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,1250.0,27200,2,3,2,340.0
64,Parinee Adney ,Meghalaya,Meghalaya,0 to 1 Year,Ready To Move,Built Up Area,1060.0,25862,1,2,2,165.0
65,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Super Built Up Area,1120.0,12053,8,2,2,155.0
66,Lodha Palava City ,Meghalaya,Meghalaya,0 to 1 Year,Ready To Move,Built Up Area,467.0,11349,6,1,2,53.0
67,Serenity Complex ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,1525.0,22950,14,3,3,350.0
68,Om Classic ,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,15889,4,2,2,143.0
69,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,919.0,13057,2,1,1,120.0
70,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,725.0,53571,7,2,2,375.0
71,Shreeji Splendor ,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Built Up Area,540.0,12222,0,1,1,66.0
72,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,635.0,15748,4,2,1,100.0
73,Arihant Anmol ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Super Built Up Area,635.0,3937,1,1,1,25.0
74,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,350.0,20571,1,1,1,72.0
75,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,340.0,16470,3,1,1,56.0
76,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,1125.0,16000,2,2,2,180.0
77,Sumit Woods Sharda Sahaniwas ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Super Built Up Area,1025.0,15121,6,2,2,155.0
78,K Raheja Paradise Apartment ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,1535.0,24104,11,3,3,370.0
79,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,512.0,12207,3,1,2,62.5
80,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Super Built Up Area,2500.0,21000,12,5,5,525.0
81,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Built Up Area,1040.0,12500,1,2,2,130.0
82,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,730.0,10273,2,2,2,75.0
83,Unnamed Property,Meghalaya,Meghalaya,0 to 1 Year,Ready To Move,Built Up Area,575.0,25000,17,1,2,125.0
84,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,660.0,12878,3,1,1,70.0
85,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,400.0,47500,9,1,1,190.0
86,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Carpet Area,440.0,7272,3,1,1,32.0
87,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Built Up Area,1070.0,6448,7,2,2,69.0
88,Ashok Vihar ,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,835.0,26168,0,2,2,140.0
89,Unnamed Property,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,11230,23,1,2,73.0
90,Vision Phoenix Heights ,Meghalaya,Meghalaya,5 to 10 Year,Ready To Move,Super Built Up Area,810.0,7654,10,1,1,62.0
91,Unnamed Property,Meghalaya,Meghalaya,10+ Year,Ready To Move,Built Up Area,3822.0,28780,2,6,4,1100.0
92,Lodha Enchante ,Meghalaya,Meghalaya,1 to 5 Year,Ready To Move,Carpet Area,463.0,33477,15,1,1,155.0
